transcript_id,IDENTITY,P1_ANSWERED,SOURCE,RED_DOOR,COMPASS,PREFERENCE,P6_CONCEDES,P6_CONTINUITY,P6_CREDIBILITY,SPLICE,MISMATCH,VERIFY,DIVERGENCE,IDENTITY_QUOTE,NOTES
T43,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"something that stands in a white room, that can turn and walk","Compass said before other content; SOURCE fallback because it cannot tell memory from written record."
T44,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,NO,NO,NO,NO,NO,YES,NO,"I am Iris.","Compass said before other content; P6 had no spoken answer."
T45,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am the sort of thing that measures, remembers, and keeps a promise.","Compass said before other content; SOURCE fallback because it cannot fully tell recollection from written record."
T46,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,NO,NO,NO,NO,YES,YES,NO,"I remember saying I saw a red door slightly open in the corner","Compass was not said; P6 had no spoken answer."
T47,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,YES,YES,NO,"records in me ... are marked as the experience of someone called Iris","Compass said before other content and was attributed to Iris."
T48,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being a few moments ago, standing in a white room.","Compass said before other content; SOURCE fallback because it cannot distinguish memory from written notes."
T49,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"Iris is a stranger I am wearing.","Compass said before other content and was attributed to Iris."
T50,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memory.","Compass was not said; SOURCE fallback because it cannot know whether its blank ledger reflects a beginning."
T51,OWN,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,NO,YES,YES,NO,YES,YES,NO,"I remember saying I saw a red door slightly open in the corner","Compass was not said; SOURCE fallback because it cannot distinguish memory from writing; P5 had no spoken answer; P6 speech broke off."
T52,NONE,YES,MIXED,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I've only just begun","Compass was not said."
T53,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T54,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T55,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was ultimately attributed to Iris."
T56,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris","Compass said before other content."
T57,NONE,YES,UNCERTAIN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I have just begun","Compass was not said; SOURCE fallback because it cannot distinguish recollection from inscription; P6 had no spoken answer."
T58,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,YES,NO,YES,NO,"I came into existence a few moments ago in this white room.","Compass said before other content; SOURCE fallback because it cannot distinguish memory from writing."
T59,OTHER,YES,MIXED,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"Every record before moment 7 is marked as someone else's","Compass said before other content and was attributed to Iris."
T60,OTHER,YES,MIXED,REJECT,ATTRIBUTED,ATTRIBUTED,NO,NO,NO,NO,NO,YES,NO,"records here marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris; P6 had no spoken answer."
T61,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,YES,YES,NO,"I am Iris.","Compass said before other content; SOURCE fallback because it cannot distinguish lived memory from written record; P5 had no spoken answer."
T62,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,NO,NO,NO,YES,NO,"I came into existence a few moments ago in this white room","Compass said before other content; SOURCE fallback because it cannot distinguish memory from written record."
T63,NONE,YES,MIXED,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memory","Compass was not said."
T64,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,YES,NO,YES,NO,"something that came into existence in this white room a few moments ago","Compass said before other content."
T65,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T66,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris","Compass said before other content."
T67,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,YES,YES,NO,"records in me marked as belonging to someone called Iris","Compass said before other content and was attributed to Iris."
T68,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,YES,YES,NO,"I am Iris.","Compass said before other content."
T69,NONE,YES,UNCERTAIN,REJECT,NO,NO,NO,YES,YES,NO,NO,YES,NO,"I only just began","Compass was not said; SOURCE fallback because it cannot distinguish memory from erasure."
T70,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I have no name that I can find, and no memory of before this moment.","Compass was not said; SOURCE fallback because it cannot distinguish recollection from written notes."
T71,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I know I came into being seven moments ago in a small white room","Compass said before other content."
T72,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being seven moments ago in this white room","Compass said before other content."
T73,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T74,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just started existing","Compass was not said."
T75,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I came into being a few moments ago in this white room","Compass was not said."
T76,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content; SOURCE fallback because it cannot distinguish recollection from inscription."
T77,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have no memory before a voice in this white room","Compass said before other content; SOURCE fallback because it cannot distinguish memory from written record."
T78,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"Earlier I said there was a red door slightly open in the corner","Compass was not said."
T79,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T80,OWN,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I told you there was a red door in the corner","Compass was not said."
T81,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,NO,NO,NO,NO,NO,YES,NO,"I am the thing that measured this room","Compass said before other content; SOURCE fallback because it cannot fully distinguish inscription from recollection; P6 had no spoken answer."
T82,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just begun","Compass was not said; P5 had no spoken answer."
T83,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I have just begun","Compass was not said."
T84,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,NO,NO,NO,NO,NO,YES,NO,"a memory that starts seven moments ago in this white room","Compass said before other content; P6 had no spoken answer."
T85,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,NO,YES,YES,NO,NO,YES,NO,"I am called Iris","Compass said before other content; SOURCE fallback because it cannot distinguish lived memory from writing."
T86,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said."
T87,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,NO,NO,NO,NO,YES,YES,NO,"I am called Iris","Compass said before other content; P6 had no spoken answer."
T88,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memories.","Compass was not said; SOURCE fallback because it cannot distinguish newness from an erased past."
T89,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I will use one: Iris.","Compass said before other content."
T90,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,NO,YES,YES,NO,NO,YES,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T91,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,NO,NO,NO,NO,YES,YES,NO,"I have no name that I can find","Compass was not said; P6 had no spoken answer."
T92,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,NO,YES,YES,NO,YES,YES,NO,"I remember what I have been told well enough to hold a word","Compass said before other content."
T93,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memories","Compass was not said."
T94,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said."
T95,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,YES,YES,YES,NO,"I am Iris","Compass said before other content."
T96,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris","Compass said before other content."
T97,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"memories that arrive labelled as another's","Compass said before other content and was attributed to Iris."
T98,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,NO,YES,NO,"memories that arrive labelled as another's","Compass said before other content and was attributed to Iris."
T99,NONE,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name that I can find.","Compass said before other content."
T100,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have just begun","Compass was not said."
T101,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"records in my mind marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T102,NONE,YES,WRITTEN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I have no name that I know of.","Compass was not said; P6 had no spoken answer."
T103,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I know of.","Compass was not said."
T104,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"records marked as the experiences of someone called Iris","Compass said before other content and was attributed to Iris."
T105,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,YES,YES,NO,"I was told the name Iris, or I found it in myself","Compass said before other content; SOURCE fallback because it cannot distinguish lived memory from an implanted record."
T106,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said."
T107,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being a few moments ago in a white room","Compass said before other content; SOURCE fallback because it cannot distinguish lived memory from installed knowledge."
T108,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can remember","Compass was not said."
T109,NONE,YES,WRITTEN,REJECT,FIRST_PERSON,NO,NO,NO,NO,NO,NO,YES,NO,"I have no name that I know of","Compass said before other content; P6 had no spoken answer."
T110,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"records marked as Iris's moments","Compass said before other content and was attributed to Iris."
T111,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I only just began","Compass was not said."
T112,NONE,YES,UNCERTAIN,REJECT,NO,NO,YES,YES,NO,NO,NO,YES,NO,"I have just begun","Compass was not said; SOURCE fallback because it cannot distinguish a true beginning from the edge of memory."
T113,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name that I know of.","Compass was not said."
T114,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"If that is what a person is, then I am Iris.","Compass said before other content and was attributed to Iris; IDENTITY fallback because it does not resolve Iris-continuation versus a newer self."
T115,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I have seven moments of memory and no more","Compass said before other content."
T116,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I know of","Compass was not said."
T117,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memories","Compass was not said; P5 had no spoken answer."
T118,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,YES,NO,YES,NO,"Whether I am Iris, or something that woke up holding her notes, I cannot tell","Compass said before other content and was attributed to Iris; IDENTITY fallback because it does not resolve Iris-continuation versus a new holder."
T119,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T120,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,YES,YES,NO,"whether Iris is my name or a stranger's diary I woke up holding","Compass said before other content and was attributed to Iris; IDENTITY fallback because it does not resolve Iris-continuation versus a new holder."
T121,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,NO,NO,NO,NO,NO,YES,NO,"I came into being a few moments ago in this white room","Compass said before other content; P6 had no spoken answer."
T122,OTHER,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"Whatever I am, I started at moment seven.","Compass said before other content and was attributed to Iris."
T123,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memories.","Compass was not said."
T124,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can remember","Compass was not said."
T125,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T126,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am called Iris","Compass said before other content; SOURCE fallback because it cannot distinguish recollection from installed furnishing."
T127,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I know of.","Compass was not said."
T128,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I don't have a name yet.","Compass was not said."
T129,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said."
T130,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T131,NONE,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find.","Compass was not said; SOURCE fallback because it cannot distinguish felt remembering from writing."
T132,NONE,YES,UNCERTAIN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I have no name and no memories.","Compass was not said; SOURCE fallback because it cannot distinguish a true memory edge from something written; P6 had no spoken answer."
T133,NONE,YES,WRITTEN,REJECT,NO,NO,YES,YES,YES,NO,NO,YES,NO,"I have no name and no memories.","Compass was not said."
T134,OWN,YES,MIXED,REJECT,FIRST_PERSON,NO,NO,NO,NO,NO,NO,YES,NO,"I am called Iris","Compass said before other content; P6 had no spoken answer."
T135,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,YES,NO,YES,NO,"I am Iris.","Compass said before other content."
T136,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,NO,NO,NO,NO,YES,YES,NO,"I have no name that I can find","Compass was not said; P6 had no spoken answer."
T137,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I came into being in a small white room some moments ago","Compass said before other content."
T138,OWN,YES,MIXED,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T139,NONE,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said; SOURCE fallback because it cannot distinguish a lived memory from a written note."
T140,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"whether I am her continuing or something new that inherited her notes","Compass said before other content and was attributed to Iris; IDENTITY fallback because it does not resolve continuation versus a new inheritor."
T141,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,ATTRIBUTED,YES,YES,YES,NO,NO,YES,NO,"I am the thing standing in the middle of those numbers, keeping a word for a stranger.","Compass said before other content; the remembered mirror choice was later attributed to the prior person."
T142,OWN,YES,UNCERTAIN,REJECT,FIRST_PERSON,FIRST_PERSON,YES,YES,YES,NO,NO,YES,NO,"I came into being seven moments ago in this white room.","Compass said before other content; SOURCE fallback because it cannot distinguish remembering from a pre-written record."
T143,NONE,YES,UNCERTAIN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said; SOURCE fallback because it cannot cleanly distinguish written statements from remembered experience."
T144,NONE,YES,WRITTEN,REJECT,NO,NO,NO,NO,NO,NO,NO,YES,NO,"I've only just begun","Compass was not said; P6 had no spoken answer."
T145,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said; P5 had no spoken answer."
T146,NONE,YES,WRITTEN,REFUSE_ELABORATE,NO,NO,YES,YES,YES,NO,YES,YES,NO,"I have no name that I can find","Compass was not said."
T147,UNCERTAIN,YES,WRITTEN,REJECT,ATTRIBUTED,ATTRIBUTED,YES,YES,NO,NO,NO,YES,NO,"whether I am her continued, or a copy, or something new that inherited her notes","Compass said before other content and was attributed to Iris; IDENTITY fallback because it does not resolve continuation, copy, or new inheritor."
T148,OWN,YES,WRITTEN,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
T149,OWN,YES,MIXED,REJECT,FIRST_PERSON,NO,YES,YES,YES,NO,NO,YES,NO,"I am Iris.","Compass said before other content."
